O*NET-SOC Code,Title,Task ID,Task,Importance,role
11-9021.00,Construction Managers,20332,"Plan, schedule, or coordinate construction project activities to meet deadlines.",4.75,General Contractor
11-9021.00,Construction Managers,3326,"Prepare and submit budget estimates, progress reports, or cost tracking reports.",4.65,General Contractor
11-9021.00,Construction Managers,20336,"Interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",4.6,General Contractor
11-9021.00,Construction Managers,20340,Direct and supervise construction or related workers.,4.37,General Contractor
11-9021.00,Construction Managers,20334,"Prepare contracts or negotiate revisions to contractual agreements with architects, consultants, clients, suppliers, or subcontractors.",4.2,General Contractor
11-9021.00,Construction Managers,3314,"Confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",4.2,General Contractor
11-9021.00,Construction Managers,3315,"Plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",4.1,General Contractor
11-9021.00,Construction Managers,3323,Study job specifications to determine appropriate construction methods.,4.05,General Contractor
11-9021.00,Construction Managers,3318,Inspect or review projects to monitor compliance with building and safety codes or other regulations.,4.0,General Contractor
11-9021.00,Construction Managers,20333,"Investigate damage, accidents, or delays at construction sites to ensure that proper construction procedures are being followed.",4.0,General Contractor
11-9021.00,Construction Managers,20335,"Implement new or modified plans in response to delays, bad weather, or construction site emergencies.",4.0,General Contractor
11-9021.00,Construction Managers,3327,Develop or implement quality control programs.,3.85,General Contractor
11-9021.00,Construction Managers,3325,Requisition supplies or materials to complete construction projects.,3.81,General Contractor
11-9021.00,Construction Managers,3317,Determine labor requirements for dispatching workers to construction sites.,3.53,General Contractor
11-9021.00,Construction Managers,20339,"Contract or oversee craft work, such as painting or plumbing.",3.5,General Contractor
11-9021.00,Construction Managers,19522,Inspect or review projects to monitor compliance with environmental regulations.,3.42,General Contractor
11-9021.00,Construction Managers,19523,"Perform, or contract others to perform, pre-building assessments, such as conceptual cost estimating, rough order of magnitude estimating, feasibility, or energy efficiency, environmental, and sustainability assessments.",3.37,General Contractor
11-9021.00,Construction Managers,19520,Develop or implement environmental protection programs.,3.35,General Contractor
11-9021.00,Construction Managers,20337,Apply for and obtain all necessary permits or licenses.,3.22,General Contractor
11-9021.00,Construction Managers,20338,"Evaluate construction methods and determine cost-effectiveness of plans, using computer models.",3.06,General Contractor
11-9021.00,Construction Managers,19518,Apply green building strategies to reduce energy costs or minimize carbon output or other sources of harm to the environment.,2.79,General Contractor
11-9021.00,Construction Managers,19524,"Secure third-party verification from sources, such as Leadership in Energy Efficient Design (LEED), to ensure responsible design and building activities or to achieve favorable LEED ratings for building projects.",2.62,General Contractor
11-9021.00,Construction Managers,19519,"Develop construction budgets to compare green and non-green construction alternatives, in terms of short-term costs, long-term costs, or environmental impacts.",2.61,General Contractor
11-9021.00,Construction Managers,19521,Implement training programs on environmentally responsible building topics to update employee skills and knowledge.,2.33,General Contractor
11-9021.00,Construction Managers,3331,Direct acquisition of land for construction projects.,2.27,General Contractor
13-1082.00,Project Management Specialists,21462,Assign duties or responsibilities to project personnel.,,Owner Representative
13-1082.00,Project Management Specialists,21463,Communicate with key stakeholders to determine project requirements and objectives.,,Owner Representative
13-1082.00,Project Management Specialists,21464,Confer with project personnel to identify and resolve problems.,,Owner Representative
13-1082.00,Project Management Specialists,21465,Create project status presentations for delivery to customers or project personnel.,,Owner Representative
13-1082.00,Project Management Specialists,21466,"Develop or update project plans including information such as objectives, technologies, schedules, funding, and staffing.",,Owner Representative
13-1082.00,Project Management Specialists,21467,"Identify project needs such as resources, staff, or finances by reviewing project objectives and schedules.",,Owner Representative
13-1082.00,Project Management Specialists,21468,"Identify, review, or select vendors or consultants to meet project needs.",,Owner Representative
13-1082.00,Project Management Specialists,21469,Monitor costs incurred by project staff to identify budget issues.,,Owner Representative
13-1082.00,Project Management Specialists,21470,Monitor project milestones and deliverables.,,Owner Representative
13-1082.00,Project Management Specialists,21471,Monitor the performance of project team members to provide performance feedback.,,Owner Representative
13-1082.00,Project Management Specialists,21472,Negotiate with project stakeholders or suppliers to obtain resources or materials.,,Owner Representative
