O*NET-SOC Code,Title,Task ID,Task,Importance,CI_lo,CI_hi,N_respondents
15-1252.00,Software Developers,21661,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",,,,
15-1252.00,Software Developers,21662,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,,,,
15-1252.00,Software Developers,21663,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,,,,
15-1252.00,Software Developers,21664,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",,,,
15-1252.00,Software Developers,21665,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",,,,
15-1252.00,Software Developers,21666,Coordinate installation of software system.,,,,
15-1252.00,Software Developers,21667,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",,,,
15-1252.00,Software Developers,21668,Determine system performance standards.,,,,
15-1252.00,Software Developers,21669,"Develop or direct software system testing or validation procedures, programming, or documentation.",,,,
15-1252.00,Software Developers,21670,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",,,,
15-1252.00,Software Developers,21671,Monitor functioning of equipment to ensure system operates in conformance with specifications.,,,,
15-1252.00,Software Developers,21672,"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration.",,,,
15-1252.00,Software Developers,21673,"Prepare reports or correspondence concerning project specifications, activities, or status.",,,,
15-1252.00,Software Developers,21674,"Recommend purchase of equipment to control dust, temperature, or humidity in area of system installation.",,,,
15-1252.00,Software Developers,21675,Specify power supply requirements and configuration.,,,,
15-1252.00,Software Developers,21676,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",,,,
15-1252.00,Software Developers,21677,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",,,,
15-1252.00,Software Developers,21678,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",,,,
15-1252.00,Software Developers,21679,Train users to use new or modified equipment.,,,,
15-1253.00,Software Quality Assurance Analysts and Testers,14642,"Identify, analyze, and document problems with program function, output, online screen, or content.",4.7,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14641,"Document software defects, using a bug tracking system, and report defects to software developers.",4.68,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14640,"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",4.52,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14638,"Design test plans, scenarios, scripts, or procedures.",4.35,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14648,Document test procedures to ensure replicability and compliance with standards.,4.3,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14653,Provide feedback and recommendations to developers on software usability and functionality.,4.27,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14652,"Install, maintain, or use software testing programs.",4.26,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14639,Test system modifications to prepare for implementation.,4.21,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14644,Create or maintain databases of known test defects.,4.15,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14649,"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",4.12,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14643,Monitor bug resolution efforts and track successes.,4.12,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14650,Update automated test scripts to ensure currency.,4.09,,,32.0
15-1253.00,Software Quality Assurance Analysts and Testers,14646,"Participate in product design reviews to provide input on functional requirements, product designs, schedules, or potential problems.",4.03,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14645,Plan test schedules or strategies in accordance with project scope or delivery dates.,4.0,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14654,Monitor program performance to ensure efficient and problem-free operations.,3.97,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14655,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",3.88,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14651,Investigate customer problems referred by technical support.,3.81,,,32.0
15-1253.00,Software Quality Assurance Analysts and Testers,14647,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",3.71,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14658,"Identify program deviance from standards, and suggest modifications to ensure compliance.",3.7,,,33.0
15-1253.00,Software Quality Assurance Analysts and Testers,14661,"Perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",3.66,,,29.0
15-1253.00,Software Quality Assurance Analysts and Testers,14659,Design or develop automated testing tools.,3.6,,,25.0
15-1253.00,Software Quality Assurance Analysts and Testers,14656,Install and configure recreations of software production environments to allow testing of software performance.,3.45,,,29.0
15-1253.00,Software Quality Assurance Analysts and Testers,14657,Collaborate with field staff or customers to evaluate or diagnose problems and recommend possible solutions.,3.34,,,29.0
15-1253.00,Software Quality Assurance Analysts and Testers,14660,Coordinate user or third-party testing.,3.34,,,32.0
15-1253.00,Software Quality Assurance Analysts and Testers,14662,Visit beta testing sites to evaluate software performance.,3.33,,,30.0
15-1253.00,Software Quality Assurance Analysts and Testers,14664,Conduct historical analyses of test results.,3.29,,,34.0
15-1253.00,Software Quality Assurance Analysts and Testers,14663,Evaluate or recommend software for testing or bug tracking.,3.25,,,32.0
15-1253.00,Software Quality Assurance Analysts and Testers,21680,"Modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",,,,
15-1253.00,Software Quality Assurance Analysts and Testers,21681,"Recommend purchase of equipment to control dust, temperature, or humidity in area of system installation.",,,,
